Latitude,Longitude,OSM Node,Distance (m),Duration (s)
38.86391,-77.29521,1446747220,,
38.8633,-77.29431,49595885,102.842785895647,11.6
38.86319,-77.29416,49595886,18.387867279198097,2.1
38.86314,-77.29412,49595888,6.028607873440699,0.7
38.86311,-77.29408,49595891,4.393440598631865,0.5
38.86303,-77.29401,5704093874,11.470551138092981,1.3
38.86289,-77.29389,49595892,18.071463757756923,2
38.86259,-77.29382,1523971677,34.40221254152027,5.6
38.86246,-77.29379,1454527302,14.74039512665941,2.4
38.86236,-77.29379,1454527298,10.678076027828574,4.8
38.86231,-77.2938,1837143408,6.725487583262445,3
38.86227,-77.29383,1454527288,4.839880460689189,2.2
38.8622,-77.29388,1454527297,8.84446855162251,4
38.86212,-77.29404,1454527305,16.100201085274364,7.2
38.86212,-77.29408,1449266396,3.9976142759753777,0.3
38.86207,-77.29432,6799290655,20.570026131112034,1.3
38.8619,-77.29527,5097112711,85.27360386283678,5.3
38.86187,-77.2954,1449266404,10.871399799059006,0.8
38.8617,-77.29633,1449266399,83.32513332864357,5.8
38.86169,-77.29639,1454558924,5.338557235912601,0.4
38.86165,-77.29663,6496501625,20.932958676047203,1.4
38.86153,-77.29727,5097112698,57.35026210344026,4
38.8615,-77.29742,6496501631,12.828027541567304,0.8
38.86146,-77.29763,6496501669,19.144859055640595,1.2
38.86142,-77.29782,6496501672,16.851558667996244,1
38.86134,-77.29824,6496501646,37.33342586053681,2.3
38.8613,-77.29846,6496501614,19.97984592772666,1.2
38.86124,-77.29871,1449266421,22.44695394266567,1.4
38.86114,-77.29913,6496501663,38.45235536168849,2.4
38.86111,-77.29925,6496501666,10.270331889470006,0.6
38.86108,-77.29938,6496501630,12.158973271329527,0.8
38.86103,-77.29957,6496501670,17.006162598155232,1.1
38.86101,-77.29963,1449266442,6.257067503518834,0.6
38.86095,-77.29985,1837143407,20.11636802732621,1.9
38.86088,-77.30011,6496501637,23.770293679070267,2.3
38.86083,-77.30028,6496501652,15.9009544325728,1.5
38.86075,-77.30055,6496501665,25.14072994478726,2.4
38.86072,-77.30063,6496501633,6.6182175155911755,0.6
38.86071,-77.30068,6496501617,4.6407247926309525,0.4
38.86057,-77.30111,1449266432,40.76191585933096,3.9
38.8605,-77.30132,4163699401,19.635418633130065,1.4
38.86037,-77.30169,1454561970,35.39358215391235,2.6
38.86032,-77.30184,6496501651,13.84907026901985,1
38.86016,-77.30228,1454562003,42.24765694486347,3.1
38.85997,-77.30283,1449266415,52.248894149432964,4.2
38.85989,-77.30304,1454562056,20.16745028442796,1.6
38.85985,-77.30317,4556244454,12.321676606140516,1
38.85964,-77.30378,4163699396,57.22345393351517,4.6
38.8596,-77.30388,1449266429,10.343483002256281,0.8
38.85954,-77.30405,1449266427,15.554767964734381,1.2
38.85908,-77.30538,6496501644,126.27046032255616,10.1
38.85884,-77.30605,1454562034,63.78225697830819,5.1
38.85871,-77.30641,1454562019,34.68424427169294,3.9
38.85853,-77.30692,1523971671,48.16886643923309,5.4
38.85841,-77.30725,4556244464,31.04362821449047,3.5
38.85839,-77.30731,4163699950,5.697500153645746,0.6
38.85836,-77.30739,1699532679,7.8003247222892,0.9
38.85832,-77.30751,1449266405,11.723598353249498,1
38.85816,-77.30751,49596699,17.24203446345956,1.8
38.85811,-77.30751,4163699946,6.0162037559373855,0.7
38.85788,-77.30751,6496516002,25.694589135847703,3.1
38.85773,-77.3075,6496527578,16.353936198461916,2
38.85758,-77.30749,6496527585,16.702145470417456,2
38.8575,-77.30749,6496527584,8.807769702479973,1.1
38.85746,-77.30748,6496527590,4.700321256211788,0.6
38.85739,-77.30747,6496527597,8.406471655563656,1
38.85734,-77.30746,6496527582,4.955649768300413,0.6
38.85722,-77.30743,1653904209,14.304117484739775,2
38.8571,-77.30743,49596708,13.3482800668786,1.5
38.85701,-77.30743,6496527593,9.565853926377256,1.1
38.85686,-77.30743,49596709,16.795394633106817,1.7
38.85674,-77.30743,6496527592,13.016070978283151,1.3
38.85665,-77.30742,6496527580,10.01636056037267,1
38.85656,-77.30742,49596713,10.683343980972817,1.1
38.85638,-77.3074,49596715,20.05742217086591,1.7
38.856,-77.30738,49596717,41.638383090965505,3.5
38.85558,-77.30738,49596718,47.27316126619682,4
38.85524,-77.30739,49596720,37.05293885271782,3.1
38.85516,-77.30742,49596722,9.983388223075927,0.7
38.85467,-77.30745,49596724,54.766165275126866,4.1
38.85452,-77.30745,49596726,16.684169837771694,1.3
38.85441,-77.30745,49596728,11.901529291643625,0.9
38.85428,-77.30742,49596729,14.237842698987993,1.1
38.85419,-77.30743,49596732,10.478209560923842,0.8
38.85412,-77.30743,49596734,7.144258219082118,0.6
38.85398,-77.30744,49596735,16.016821408891982,1.3
38.85389,-77.30744,49596737,9.789447301910794,0.8
38.85379,-77.30744,49596738,11.795077505796337,0.9
38.85359,-77.30746,49596739,21.389851252291777,1.7
38.8535,-77.30747,49596740,10.823665209430668,0.9
38.85343,-77.30746,49596741,7.123224470979258,0.5
38.85336,-77.30748,49596742,8.003234977201924,0.6
38.85285,-77.30754,49596744,57.319440545194205,4.3
38.85278,-77.30754,49596746,7.23800690490259,0.5
38.85274,-77.30753,49596747,5.383644720245762,0.4
38.85263,-77.30754,49596749,11.971926709501808,0.9
38.85154,-77.30773,2414294873,122.55745633496788,8.8
38.85139,-77.30776,49596750,17.05574252620253,1.4
38.85119,-77.30778,49596752,21.91637669676749,2
38.85093,-77.30783,49596754,28.849700216003484,2.6
38.85085,-77.30784,49596755,9.653303925652029,0.8
38.85075,-77.30786,49596757,11.17948747275827,1.2
38.85068,-77.30786,49596759,7.785840999654307,0.8
38.85061,-77.30784,49596761,7.345537988609661,0.8
38.85054,-77.30782,49596762,8.18860217390794,0.9
38.85049,-77.30778,49596763,6.131077970300293,0.7
38.85045,-77.30773,49596764,6.506873997466353,0.7
38.85039,-77.30764,49596767,10.253040374883913,1.1
38.85,-77.30686,49596768,80.03852914100734,8.7
38.84994,-77.30676,49596769,11.074397805457046,1.2
38.84989,-77.3067,49596770,7.718243274265759,0.8
38.84983,-77.30665,49596771,8.14387971046509,0.9
38.84977,-77.30661,49596773,7.2288413013722055,0.8
38.84968,-77.30658,49596775,10.08812466579628,1.1
38.84957,-77.30655,49596777,12.507826152725093,1.4
38.84911,-77.30647,49596778,51.642961556544684,5.6
38.84899,-77.30644,49596779,13.727940009289798,1.5
38.84883,-77.3064,49596781,18.316859329232734,3.9
38.84813,-77.3063,49596783,78.1669375671067,16.6
38.84775,-77.30624,49596785,43.206534756588425,9.1
38.84757,-77.30623,1436413463,19.396946690961734,4.1
38.8475,-77.30623,5178426562,7.6751035619887125,1.6
38.84741,-77.30623,49596787,10.677724800476009,2.3
38.84734,-77.30624,49596789,7.965189127920837,1.7
38.84721,-77.30627,49596790,13.795665737343201,2.9
38.84712,-77.3063,49596791,11.09752412583662,2.4
38.84703,-77.30633,5037476419,9.5674799675601,1.1
38.84634,-77.30658,49596792,80.41648154567164,9.3
38.84627,-77.3066,1454754948,8.211971820805635,1
38.84625,-77.30651,5037476415,7.941081276814688,1.1
38.84622,-77.30641,5518084652,9.001633258322245,1.3
38.84609,-77.30579,1462513984,56.192072377440894,9.6
38.84608,-77.30576,5518084629,2.515682933225843,0.4
38.84603,-77.30554,1462514035,19.708189822673543,3.9
38.846,-77.30538,3992065788,14.427097061253397,2.9
38.84598,-77.3053,49598085,7.4635704193704235,1.5
38.84596,-77.30521,3992065787,8.055849678929025,1.5
38.84584,-77.30468,5518084613,48.09366287167776,9.1
38.84579,-77.30447,5518084607,18.34587641842732,4.1
38.84578,-77.30444,4818578232,3.409973706996505,0.9
38.84571,-77.30411,5037476397,29.612974415907217,4.8
38.84568,-77.304,1454754932,9.926423917103907,1.6
38.84563,-77.30389,1454754944,10.961659325518905,0.9
38.84553,-77.30347,49598079,37.970014223476824,3.1
38.84533,-77.30256,1454757823,82.44012067560385,6.7
38.84518,-77.30186,1673266771,62.224832198486695,5.1
38.84515,-77.30174,1454757822,10.873584469503474,0.9
38.84511,-77.30155,663491712,17.701440285597137,1.4
38.84493,-77.30071,1454757854,75.22099553277198,6.2
38.84484,-77.3003,663491713,36.59110071183771,3
38.84473,-77.29965,663491714,58.310177144708895,4.8
38.8447,-77.29941,663491715,20.937122751579196,1.7
38.84461,-77.29872,5518084183,60.05688996183585,4.2
38.84446,-77.29755,5518084199,102.84134972660895,8.2
38.84436,-77.29676,1456394015,69.3707701514555,8.3
38.84435,-77.29667,663491717,7.7208997690728856,0.9
38.84419,-77.29557,1456394021,97.37716120886395,6.7
38.84412,-77.29503,663491720,47.51770459324781,3.3
38.84406,-77.29448,1456393973,47.815789861568156,3.6
38.84398,-77.29386,663491723,54.544760287014235,4.1
38.84398,-77.29381,49598070,4.530083543692593,0.3
38.84396,-77.29375,663491727,5.509044110503804,0.5
38.84391,-77.29334,1456393986,35.33449984921737,3.3
38.84385,-77.29283,663491731,45.09296640915321,4.2
38.84383,-77.29271,663491738,10.90843576494161,1
38.84382,-77.29266,1456393977,3.8520564451542363,0.4
38.84386,-77.29266,1456393994,4.674716453945243,1.1
38.84392,-77.29267,49594999,5.78441633265729,1.3
38.84397,-77.29267,4760413531,5.672541299788567,0.9
38.84401,-77.29267,49594997,5.227636100151976,0.8
38.84481,-77.29273,5518084169,88.57754138690179,13.9
38.84513,-77.29275,49594995,36.21336436917857,4.7
38.84531,-77.29276,49594993,20.03946676368896,2.6
38.84558,-77.29278,49594992,29.960479079990424,4.1
38.84571,-77.29277,49594990,14.15784421800294,2
38.84584,-77.29274,49594989,14.222866882238247,2
38.84596,-77.2927,49594988,14.201882042815068,2
38.84607,-77.29264,49594986,12.819483287062138,1.8
38.84619,-77.29256,49594985,15.098401200143703,2.1
38.84632,-77.29246,49594982,17.03642733418645,2.4
38.84696,-77.29189,49594981,86.10587423160781,12.4
38.84715,-77.29173,49594980,25.69730638663233,3.7
38.84711,-77.29143,49599640,26.707339842588862,4.6
38.84695,-77.2902,49598458,107.95310244076333,18.5
38.84682,-77.28919,49599637,88.75247894123622,10.3
38.8468,-77.28899,49599635,16.82538575435813,2
38.8468,-77.28892,49599633,6.238058079669217,0.7
38.8468,-77.28886,49599631,5.561881860508843,0.6
38.84682,-77.28874,49599630,10.291889034397776,1.2
38.84685,-77.28867,49599628,6.388388810662479,0.7
38.8469,-77.28856,49598171,10.922558272305176,1.3
38.84734,-77.2889,49598170,57.02952602573856,15.8
38.84751,-77.28903,49598169,22.14197614861785,6.1
38.84757,-77.28914,49598168,12.100625352468288,3.4
